1,Universidade de São Paulo (USP),97.52
2,Universidade Federal do Rio de Janeiro (UFRJ),97.29
3,Universidade Federal de Minas Gerais (UFMG),96.38
4,Universidade Estadual de Campinas (UNICAMP),96.37
5,Universidade Federal do Rio Grande do Sul (UFRGS),95.58
6,Universidade Federal de Santa Catarina (UFSC),92.3
7,Universidade Federal do Paraná (UFPR),92.29
8,Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP),92.01
9,Universidade de Brasília (UNB),91.02
10,Universidade Federal de Pernambuco (UFPE),90.34
11,Universidade Federal de São Carlos (UFSCAR),90.24
12,Universidade Federal do Ceará (UFC),89.1
13,Universidade do Estado do Rio de Janeiro (UERJ),87.71
14,Universidade Federal da Bahia (UFBA),87.16
15,Universidade Federal de Viçosa (UFV),86.49
16,Universidade Federal Fluminense (UFF),85.89
17,Universidade Federal de São Paulo (UNIFESP),85.15
18,Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),84.75
19,Pontifícia Universidade Católica do Rio de Janeiro (PUC-RIO),83.99
20,Universidade Federal de Goiás (UFG),83.6
21,Universidade Federal de Santa Maria (UFSM),83.46
22,Universidade Federal do Rio Grande do Norte (UFRN),82.7
23,Universidade Federal de Juiz de Fora (UFJF),82.59
24,Universidade Estadual de Londrina (UEL),82.2
25,Universidade Estadual de Maringá (UEM),82.16
26,Universidade Federal do Espírito Santo (UFES),79.87
27,Universidade Federal do Pará (UFPA),78.96
28,Universidade Federal de Uberlândia (UFU),78.93
29,Universidade Federal de Lavras (UFLA),78.82
30,Universidade Federal da Paraíba (UFPB),76.75
31,Pontifícia Universidade Católica do Paraná (PUCPR),76.69
32,Universidade Federal de Pelotas (UFPEL),74.82
33,Universidade Presbiteriana Mackenzie (MACKENZIE),74.78
34,Universidade Federal de Mato Grosso (UFMT),73.87
35,Universidade Federal Rural do Rio de Janeiro (UFRRJ),71.78
36,Universidade do Vale do Rio dos Sinos (UNISINOS),70.89
37,Fundação Universidade Federal do Abc (UFABC),70.34
38,Universidade Federal de Sergipe (UFS),69.63
39,Universidade Federal de Ouro Preto (UFOP),68.9
40,Fundação Universidade do Estado de Santa Catarina (UDESC),68.29
41,Universidade Federal de Campina Grande (UFCG),67.4
42,Universidade de Caxias do Sul (UCS),66.7
43,Universidade Estadual do Norte Fluminense Darcy Ribeiro (UENF),66.68
44,Universidade Federal de Alagoas (UFAL),66.28
45,Universidade Católica de Brasília (UCB),66.11
46,Universidade Estadual de Ponta Grossa (UEPG),65.98
47,Universidade Federal do Amazonas (UFAM),65.91
48,Universidade Federal do Piauí (UFPI),65.9
49,Universidade Federal de Mato Grosso do Sul (UFMS),65.69
50,Universidade Federal do Triângulo Mineiro (UFTM),65.09
51,Universidade Estadual de Santa Cruz (UESC),64.85
52,Universidade Federal de São João Del Rei (UFSJ),64.79
53,Universidade Federal do Rio Grande (FURG),64.3
54,Pontifícia Universidade Católica de São Paulo (PUCSP),64.25
55,Universidade Tecnológica Federal do Paraná (UTFPR),63.91
56,Pontifícia Universidade Católica de Minas Gerais (PUC MINAS),63.85
57,Universidade Estadual do Ceará (UECE),63.42
58,Universidade Federal do Maranhão (UFMA),62.7
59,Universidade Federal de Itajubá  (UNIFEI),62.64
60,Universidade Estadual de Feira de Santana (UEFS),62.5
61,Fundação Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),61.72
62,Universidade Estadual do Oeste do Paraná (UNIOESTE),61.7
63,Universidade Nove de Julho (UNINOVE),61.52
64,Universidade de Pernambuco (UPE),61.43
65,Pontifícia Universidade Católica de Campinas (PUC-CAMPINAS),61.08
66,Universidade Federal Rural de Pernambuco (UFRPE),59.65
67,Universidade Federal de Alfenas (UNIFAL-MG),59.27
68,Universidade de Fortaleza (UNIFOR),58.67
69,Universidade Federal do Estado do Rio de Janeiro (UNIRIO),57.58
70,Universidade de Franca (UNIFRAN),57.43
71,Universidade de Passo Fundo (UPF),55.87
72,Universidade Luterana do Brasil (ULBRA),54.82
73,Universidade do Vale do Paraíba (UNIVAP),54.7
74,Universidade Feevale (FEEVALE),54.52
75,Universidade do Vale do Itajaí (UNIVALI),54.47
76,Universidade Católica de Pelotas (UCPEL),54.14
77,Universidade Regional de Blumenau (FURB),52.78
78,Fundação Universidade Federal do Pampa - Unipampa (UNIPAMPA),52.58
79,Universidade Paulista (UNIP),52.22
80,Universidade Positivo (UP),52.19
81,Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM),52.09
82,Fundação Universidade Federal do Vale do São Francisco (UNIVASF),51.34
83,Universidade do Sul de Santa Catarina (UNISUL),51.21
84,Universidade Tiradentes (UNIT),50.77
85,Universidade Cruzeiro do Sul (UNICSUL),50.6
86,Universidade Metodista de Piracicaba (UNIMEP),50.5
87,Universidade do Extremo Sul Catarinense (UNESC),50.33
88,Fundação Universidade Federal da Grande Dourados (UFGD),50.31
89,Universidade Estadual do Sudoeste da Bahia (UESB),50.27
90,Universidade de Ribeirão Preto (UNAERP),49.89
91,Universidade Católica de Pernambuco (UNICAP),49.49
92,Universidade Estácio de Sá (UNESA),49.17
93,Universidade São Francisco (USF),48.85
94,Universidade da Região de Joinville (UNIVILLE),48.51
95,Universidade Federal Rural do Semi-Árido (UFERSA),48.2
96,Universidade Pitágoras Unopar,48
97,Universidade Católica Dom Bosco (UCDB),46.99
98,Universidade Estadual do Centro Oeste (UNICENTRO),46.88
99,Universidade do Estado da Bahia (UNEB),45.55
100,Universidade Estadual da Paraíba (UEPB),45.5
101,Universidade do Estado do Amazonas (UEA),45.31
102,Universidade Cidade de São Paulo (UNICID),44.27
