ABEU - CENTRO UNIVERSITÁRIO (UNIABEU),UNIABEU,Rua Itaiara - 301 Centro Belford Roxo,,RJ
ACADEMIA DE POLÍCIA MILITAR DO ESPÍRITO SANTO (APM/ES),APM/ES,,,
ACADEMIA JUDICIAL DO TRIBUNAL DE JUSTIÇA DE SANTA CATARINA (AJ),AJ,Rua Almirante Lamego - 1386 Centro,Florianópolis,SC
Academia Militar das Agulhas Negras (AMAN),AMAN,AC Academia Militar de Agulhas Negras - 306 Independência,Resende,RJ
ACADEMIA NACIONAL DE POLÍCIA - ANP (ANP),ANP,Academia Nacional de Polícia Federal - Setor Habitacional Taquari (Lago Norte),Brasília,DF
AJES - FACULDADE DO VALE DO JURUENA (AJES),AJES,Avenida Gabriel Müller - s/n Módulo I,Juína,MT
ALFA - Faculdade de Almenara,-,Rua Vereador Virgílio Mendes Lima - 847 São Pedro,Almenara,MG
ALFA - Faculdade de Araçuai (ALFA-Araçuai),ALFA-Araçuai,Rua Dom Serafim - 435 Centro,Araçuaí,MG
ALFA - Faculdade de Guanhães (ALFA - Gunhães),ALFA - Gunhães,Rua Wantuil Caldeira - 544 Expansão,Guanhães,MG
ATOPP BRASIL FACULDADE DE NEGÓCIOS (ATOPP BRASIL),ATOPP BRASIL,Rua Fortaleza - 91 Jardim Agari,Londrina,PR
CASTELLI ESCOLA SUPERIOR DE HOTELARIA (CASTELLI ESH),CASTELLI ESH,Avenida Osvaldo Aranha - 994 Centro,Canela,RS
CENTRO DE EDUCAÇÃO SUPERIOR DE BLUMENAU (CESBLU),CESBLU,Rua Capitão Santos - 145 Garcia,Blumenau,SC
CENTRO DE EDUCAÇÃO TÉCNICA DA UTRAMIG (UTRAMIG),UTRAMIG,Avenida Afonso Pena - 3400 CRUZEIRO,Belo Horizonte,MG
CENTRO DE EDUCAÇÃO TECNOLÓGICO DA FUNDAÇÃO INDAIATUBANA DE EDUCAÇÃO E CULTURA (FIEC),FIEC,Avenida Engenheiro Fábio Roberto Barnabé - Jardim Regina,Indaiatuba,SP
Centro de Ensino e Pesquisa do Pró-Cardíaco (Procep),Procep,Rua Voluntários da Pátria - 435 Botafogo,Rio de Janeiro,RJ
CENTRO DE ENSINO SUPERIOR DE ARCOVERDE (CESA),CESA,Rua Gumercindo Cavalcanti - 420 SÃO CRISTOVÃO,Arcoverde,PE
CENTRO DE ENSINO SUPERIOR DE BACABEIRA (CESBA),CESBA,"Rua dos bacurizeiros, bairro nova bacabeira - Bacabeira - Maranhão - 13 Centro",Bacabeira,MA
Centro de Ensino Superior de Conselheiro Lafaiete (CES-CL),CES-CL,Rua Lopes Franco - 1001 Carijós,Conselheiro Lafaiete,MG
CENTRO DE ENSINO SUPERIOR DE ILHÉUS (CESUPI),CESUPI,Avenida Tancredo Neves - s/n São Francisco,Ilhéus,BA
CENTRO DE ENSINO SUPERIOR DE JATAÍ (CESUT),CESUT,Rua Santos Dumont - 1.200 Setor Oeste,Jataí,GO
CENTRO DE ENSINO SUPERIOR DE JUIZ DE FORA (CES/JF),CES/JF,Rua Halfeld - 1179 Centro,Juiz de Fora,MG
CENTRO DE ENSINO SUPERIOR DE PALMAS (CESUP),CESUP,Quadra 1102 Sul Avenida Joaquim Teotônio Segurado - s/n Plano Diretor Sul,Palmas,TO
CENTRO DE ENSINO SUPERIOR DE UBERABA (CESUBE),CESUBE,Avenida Doutor Randolfo Borges Júnior - 1250 Univerdecidade,Uberaba,MG
CENTRO DE ENSINO SUPERIOR DE VITÓRIA (CESV),CESV,Rua Doutor Eurico de Aguiar - 1003 Santa Lúcia,Vitória,ES
CENTRO DE ENSINO SUPERIOR DO AMAPÁ (CEAP),CEAP,Rodovia de Duca Serra - s/n Alvorada,Macapá,AP
CENTRO DE ENSINO SUPERIOR DO TOCANTINS,-,Quadra 1102 Sul Avenida Joaquim Teotônio Segurado - s/n Plano Diretor Sul,Palmas,TO
CENTRO DE ENSINO SUPERIOR DO VALE DO PARNAÍBA (CESVALE),CESVALE,Avenida Ininga - 1201 Jockey Club,Teresina,PI
CENTRO DE ENSINO SUPERIOR DO VALE SÃO FRANCISCO (CESVASF),CESVASF,BR 316 - Campus Alto do Encanto - s/n Nova Olinda,Belém de São Francisco,PE
Centro de Ensino Superior Riograndense Marau CESURG,-,Rua Júlio Borella - 3553 Centro,Marau,RS
Centro de Ensino Superior Riograndese (CESURG),CESURG,Rodovia Governador Leonel de Moura Brizola - KM 38 Linha Beira Campo,Sarandi,RS
Centro de Ensino Unificado do Piauí (CEUPI),CEUPI,Rua Durvalino Couto - 1220 Jockey Club,Teresina,PI
Centro de Estudos de Pessoal e Forte Duque de Caxias (CEP),CEP,Praça Almirante Júlio de Noronha - SN Leme,Rio de Janeiro,RJ
CENTRO DE ESTUDOS SUPERIORES APRENDIZ (CESA),CESA,Avenida Bias Fortes - 02 Centro,Barbacena,MG
"Centro de Formação, Treinamento e Aperfeiçoamento (Cefor)",Cefor,"SGMN Via N3, Projeção L, Complexo Avançado da Câmara dos Deputados - - Plano Piloto",Brasília,DF
Centro de Instrução de Aviação do Exército (CIAvEx),CIAvEx,Complexo de Aviação do Exército - CAVEX - 2.135 ranjas Rurais Reunidas São Judas Tadeu,Taubaté,SP
Centro de Instrução de Guerra Eletrônica (CIGE),CIGE,Academia Nacional de Polícia Federal - km 05 etor Habitacional Taquari (Lago Norte),Brasília,DF
"Centro de Medicina Especializada, Pesquisa e Ensino (CEMEPE)",CEMEPE,Rua Edgard Coelho - 100 Serra,Belo Horizonte,MG
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA (CEFET/RJ),CEFET/RJ,Avenida Maracanã - 229 Maracanã,Rio de Janeiro,RJ
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS (CEFET/MG),CEFET/MG,Avenida Amazonas - 5253 Nova Suiça,Belo Horizonte,MG
CENTRO REGIONAL UNIVERSITÁRIO DE ESPÍRITO SANTO DO PINHAL (UNIPINHAL),UNIPINHAL,Avenida Hélio Vergueiro Leite - s/n Jardim Universitário,Espírito Santo do Pinhal,SP
CENTRO SUPERIOR DE ENSINO E PESQUISA DE MACHADO (CESEP),CESEP,Av Dr Athayde Pereira de Souza - 730 Centro,Machado,MG
CENTRO SUPERIOR DE ESTUDOS JURÍDICOS CARLOS DRUMMOND DE ANDRADE (CSEJCDA),CSEJCDA,Rua Comendador Cantinho - 394 Penha de França,São Paulo,SP
Centro Superior Una de Catalão (UNACAT),UNACAT,Avenida Presidente Médici - S/N Santa Cruz,Catalão,GO
CENTRO TÉCNICO-EDUCACIONAL SUPERIOR DO OESTE PARANAENSE (CTESOP),CTESOP,Avenida Brasil - 1441 Jardim Paraná,Assis Chateaubriand,PR
CENTRO TECNOLÓGICO POSITIVO (CTPositivo),CTPositivo,Rua Senador Accioly Filho - 511 Cidade Industrial,Curitiba,PR
CENTRO UNIVERSIÁRIO UNIFTC,-,Rua Ubaldino Figuera - 200 Exposição,Vitória da Conquista,BA
CENTRO UNIVERSIÁRIO UNIFTC DE FEIRA DE SANTANA,-,Avenida Artêmia Pires de Freitas - S/N SIM,Feira de Santana,BA
CENTRO UNIVERSIÁRIO UNIFTC SALVADOR,-,Avenida Luís Viana - 8812 Paralela,Salvador,BA
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO (UNASP),UNASP,Estrada de Itapecerica - 5859 Jardim IAE,São Paulo,SP
CENTRO UNIVERSITÁRIO AGES (UniAGES),UniAGES,Avenida Universitária - 23 Centro,Paripiranga,BA
CENTRO UNIVERSITÁRIO ÁLVARES PENTEADO (FECAP),FECAP,Avenida da Liberdade - 532 Liberdade,São Paulo,SP
CENTRO UNIVERSITÁRIO ALVES FARIA (UNIALFA),UNIALFA,Avenida Perimetral Norte - 4.129 Vila João Vaz,Goiânia,GO
CENTRO UNIVERSITÁRIO AMPARENSE (UNIFIA),UNIFIA,"Rodovia Sp 95, Km 46,5 - s/n Martírio",Amparo,SP
CENTRO UNIVERSITÁRIO ANHANGÜERA (UNIFIAN),UNIFIAN,Rua Waldemar Silenci - 340 Cidade Jardim,Leme,SP
CENTRO UNIVERSITÁRIO ANHANGUERA DE CAMPO GRANDE,-,BR 163 - 3203 Chácara das Mansões,Campo Grande,MS
CENTRO UNIVERSITÁRIO ANHANGUERA DE NITERÓI (UNIAN-RJ),UNIAN-RJ,Rua Visconde do Rio Branco - 123 Centro,Niterói,RJ
CENTRO UNIVERSITÁRIO ANHANGUERA DE SANTO ANDRÉ (UNIA),UNIA,Rua Senador Flaquer - 456/459 Centro,Santo André,SP
CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,-,Rua Afonso Celso - 235 Vila Mariana,São Paulo,SP
